10
a1 0.9204019645743848
a2 0.690640247533534
a3 0.32446847004418633
a4 0.13687504441183385
a5 0.821015617238897
a6 0.6171995313464471
a7 0.7235846660536065
a8 0.5474724743519983
a9 0.04186818720558372
a0 0.8421996489014589
18
a1 a9 0.5469885092334759
a2 a1 0.6245173924411933
a2 a6 0.6712407559747253
a3 a5 0.10169537720673161
a4 a1 0.31181174799543065
a5 a2 0.5517760393169304
a5 a8 0.22749549406420067
a5 a0 0.7326551401234254
a6 a4 0.8457366636574347
a6 a5 0.8730720541177165
a6 a0 0.4973365116250055
a7 a4 0.7618994422518227
a7 a6 0.3276424991692819
a7 a8 0.9255337755193549
a8 a4 0.055459459452186666
a8 a6 0.9283903565862781
a0 a4 0.4061089830156118
a0 a0 0.8737025318103819
4
a3 a2 0.2661277803983062
a3 a8 0.4690292482242491
a5 a2 0.18957290522176962
a8 a2 0.3929796116010601
